Pulse V5 Active. Equity: $101,644.71 | Mode: 0
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:235: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:305: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Sniper Pulse Brain Synchronized.
[12:16:01] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.00%
[12:16:03] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.00%
[12:16:06] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.00%
[12:16:08] Pulse Conviction: -1.0000 | ATR Mult: 0.76 | PnL: +0.02%
[12:16:10] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.02%
[12:16:12] Pulse Conviction: -1.0000 | ATR Mult: 0.78 | PnL: +0.02%
[12:16:14] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: +0.02%
[12:16:16] Pulse Conviction: -1.0000 | ATR Mult: 0.80 | PnL: +0.02%
[12:16:18] Pulse Conviction: -1.0000 | ATR Mult: 0.80 | PnL: +0.02%
[12:16:20] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.03%
[12:16:22] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.03%
[12:16:24] Pulse Conviction: -1.0000 | ATR Mult: 0.77 | PnL: +0.04%
[12:16:26] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: +0.00%
Order Executed: XAUUSD SELL at 4428.96
[12:16:28] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: -0.00%
[12:16:31] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: -0.00%
[12:16:33] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: -0.01%
[12:16:35] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: -0.00%
[12:16:37] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: -0.01%
[12:16:39] Pulse Conviction: -1.0000 | ATR Mult: 0.80 | PnL: -0.01%
[12:16:41] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: -0.00%
[12:16:43] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: -0.00%
[12:16:45] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: -0.01%
[12:16:47] Pulse Conviction: -1.0000 | ATR Mult: 0.68 | PnL: -0.01%
[12:16:49] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: -0.01%
[12:16:51] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: -0.01%
[12:16:54] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.02%
[12:16:56] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
